localidad,edad,sexo,causa_inicio,causa_persistencia,consume_cigarrillo,consume_basuco,consume_marihuana,consume_alcohol,consume_inhalantes,consume_pepas,consume_cocaina,consume_heroina,causa_inicio_texto,causa_persistencia_texto
Teusaquillo,21,Hombre,1.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Teusaquillo,41,Hombre,12.0,1.0,No,Sí,Sí,No,Sí,No,No,No,Otra,Consumo de sustancias psicoactivas
Santa Fe,43,Hombre,1.0,1.0,No,No,No,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,53,Hombre,1.0,6.0,No,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Conflictos o dificultades familiares
Santa Fe,27,Hombre,1.0,2.0,No,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,24,Hombre,1.0,2.0,Sí,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,27,Hombre,1.0,2.0,Sí,Sí,Sí,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
Santa Fe,38,Hombre,4.0,12.0,Sí,Sí,No,No,No,No,No,No,Egreso de una institución (de protección o penitenciaria),Otra
Santa Fe,58,Hombre,5.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,33,Hombre,1.0,12.0,Sí,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Otra
Santa Fe,42,Hombre,5.0,6.0,Sí,Sí,No,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Conflictos o dificultades familiares
Santa Fe,24,Hombre,1.0,1.0,Sí,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,24,Hombre,1.0,1.0,Sí,Sí,No,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,33,Hombre,1.0,1.0,Sí,No,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,28,Hombre,10.0,5.0,Sí,Sí,Sí,Sí,No,No,Sí,No,Amenaza o riesgo para su vida o integridad física,Falta de trabajo
Santa Fe,22,Hombre,5.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,40,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,Sí,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
La Candelaria,62,Hombre,5.0,2.0,No,Sí,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Por decisión propia
Santa Fe,28,Hombre,8.0,1.0,Sí,Sí,Sí,No,Sí,No,No,No,Por decisión propia,Consumo de sustancias psicoactivas
Santa Fe,27,Hombre,5.0,1.0,Sí,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,43,Hombre,9.0,1.0,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Pérdida de redes de apoyo,Consumo de sustancias psicoactivas
Santa Fe,,,,,,,,,,,,,,
Santa Fe,39,Hombre,5.0,5.0,Sí,No,Sí,No,No,No,No,No,Consumo de sustancias psicoactivas,Falta de trabajo
Santa Fe,50,Hombre,1.0,5.0,Sí,Sí,Sí,No,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Falta de trabajo
La Candelaria,28,Hombre,8.0,12.0,No,No,No,No,No,No,No,No,Por decisión propia,Otra
La Candelaria,40,Hombre,5.0,2.0,Sí,Sí,Sí,Sí,No,No,No,No,Consumo de sustancias psicoactivas,Por decisión propia
La Candelaria,35,Hombre,1.0,2.0,No,No,No,Sí,No,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Por decisión propia
La Candelaria,24,Hombre,5.0,1.0,Sí,Sí,Sí,No,No,Sí,Sí,No,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
La Candelaria,,,,,,,,,,,,,,
La Candelaria,,,,,,,,,,,,,,
La Candelaria,,,,,,,,,,,,,,
La Candelaria,69,Hombre,8.0,2.0,Sí,No,No,Sí,No,No,No,No,Por decisión propia,Por decisión propia
La Candelaria,51,Hombre,5.0,5.0,Sí,Sí,No,No,No,No,No,No,Consumo de sustancias psicoactivas,Falta de trabajo
La Candelaria,50,Hombre,5.0,2.0,Sí,Sí,Sí,No,No,No,Sí,No,Consumo de sustancias psicoactivas,Por decisión propia
Santa Fe,50,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,No,No,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,26,Intersexual,5.0,1.0,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Consumo de sustancias psicoactivas,Consumo de sustancias psicoactivas
Santa Fe,35,Hombre,3.0,11.0,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Pérdida de fuente de ingresos suya o de su hogar,Ausencia de redes de apoyo adecuadas
Santa Fe,32,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,No,No,Sí,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
Santa Fe,39,Hombre,12.0,1.0,Sí,Sí,Sí,No,No,No,No,No,Otra,Consumo de sustancias psicoactivas
Santa Fe,49,Hombre,9.0,1.0,No,Sí,Sí,Sí,No,No,Sí,No,Pérdida de redes de apoyo,Consumo de sustancias psicoactivas
La Candelaria,52,Mujer,8.0,2.0,No,No,No,No,No,No,No,No,Por decisión propia,Por decisión propia
La Candelaria,40,Hombre,1.0,1.0,Sí,Sí,Sí,Sí,Sí,No,No,No,Conflictos de convivencia o violencia con familiares o personas con las que vivía,Consumo de sustancias psicoactivas
La Candelaria,,,,,,,,,,,,,,
La Candelaria,67,Hombre,,,,,,,,,,,,
