DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8;P9R;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23S1R;P24;P25;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
101191;1;11;11001;1;16;2;1;44;1;3;2;1;3;2;4;3;4;3;4;3;4;4;3;1; ; ; ; ; ; ; ;1; ; ;1;1;2;2;2;2;2; ; ; ; ; ;1;7;10;7;5;2;2;1;2;1;2;3;1;1;1;1;1;1;1;1;1;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;1;2;2;2;1;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101192;1;11;11001;1;16;2;1;39;1;3;2;1;3;2;4;2;3;2;4;2;3;3;3;1; ; ; ; ; ;1; ; ; ;1;1;1;2;2;2;2;2; ; ; ; ; ;2;1;22;1;9;2;2;1;2;2;2;3;1;1;1;1; ;1;1;1;2;13;4;2;1;2;2;2;1;2;2;2; ;20; ; ; ;15; ; ; ;6;4;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101193;1;11;11001;1;16;2;1;55;1;3;1;1;3;2;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;8;20;10;9;2;2;1;2;2;2;3; ;1;1;1; ;1; ;1;1;2;5;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1
101194;1;11;11001;1;16;2;1;47;1;3;2;1;3;2;4;3;3;4;4;3;4;3;4;1; ; ; ; ; ; ; ; ; ;1;1;1;2;2;2;2;2; ; ; ; ; ;2;7;14;11;9;2;1;1;2;2;2;3; ;1;1;1;1; ;1;1;1;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;1;2;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101195;1;11;11001;1;16;2;1;36;2;3;1;1;3;2;4;4;4;4;4;2;4;2;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;19;1;1;1;2;1;2;2;2;3;1;1;1;1; ;1;1;1;1;2;8;2;2;2;2;2;1;2;2;1; ; ; ; ; ;16; ; ;25;6;4;1;1; ; ; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101196;1;11;11001;1;16;2;1;60;1;3;2;1;3;2;3;4;2;2;4;2;4;4;4;1; ; ; ; ; ; ; ; ; ;1;3;1;1;2;2;2;2;1; ; ; ; ;1;5;4;4;3;2;2;1;2;2;2;3; ;1;1;1;1; ;1;1;1;2;1;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1;2;2;2;1;2;1; ; ; ; ; ; ; ; ; ;1
101197;1;11;11001;1;16;2;1;33;1;5;2;1;3;1;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;1;10;6;2;2;1;2;2;2;3; ;1;1;1; ;1;1;1;1;5;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
101198;1;11;11001;1;16;2;1;53;2;3;2;1;3;2;3;4;3;3;3;3;4;3;4;1; ; ; ; ;1; ; ;1; ; ;1;1;2;2;2;2;2; ; ; ; ; ;1;5;20;1;6;2;2;1;2;2;2;3; ;1;1; ; ;1; ;1;1;2;4;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;1;1;2;2;2;1;1;2;2;1;1;1; ; ; ; ; ; ; ; ; ;1
101199;1;11;11001;1;16;2;1;38;1;3;1;1;3;2;4;4;2;4;3;3;4;4;4;1; ; ; ; ; ;1; ;1;1; ;1;1;2;2;2;2;2; ; ; ; ; ;1;1;1;1;1;1;2;1;2;2;2;3;1;1;1;1; ;1; ;1;1;4;7;1;2;1;2;2;1;2;2;2;11; ;14; ; ;16; ; ; ;6;3;1;1; ; ; ; ; ; ; ; ;2;1;1;1;1;1;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101200;1;11;11001;1;16;2;1;37;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;23;10;2;2;2;1;2;2;2;3;1;1;1;1;1;1;1;1;1;3;1;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;1;2;1;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101201;1;11;11001;1;16;2;1;34;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1;8;1;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;5;1;2;2;2;2;2;2;2;2;16; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101202;1;11;11001;1;16;2;1;29;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;10;10;1;2;2;1;2;2;2;3; ;1;1;1; ;1;1;1;1;4;7;1;2;2;2;2;2;2;2;2;8; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;1;1;1;1;2;2;2;1;2;2;1; ; ; ; ; ; ; ; ; ;1
101203;1;11;11001;1;16;2;1;36;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;8;1;2;1;2;1;2;2;2;3;1;1;1;1;1;1;1;1;1;4;3;1;2;2;2;2;2;2;2;2;21; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101204;1;11;11001;1;16;2;1;37;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;6;0;11;3;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;9;1;2;2;2;2;2;2;2;2;18; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101205;1;11;11001;1;16;2;1;42;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;3;19;1;6;2;1;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;1;2;2;2;2;2;2;2;2;14; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;1;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101206;1;11;11001;1;16;2;1;27;1;3;2;1;2;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;10;10;3;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;1;2;2;2;2;2;2;2;2;13; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101207;1;11;11001;1;16;2;1;29;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;8;1;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;1;1;2;2;2;2;2;2;2;2;7; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;2;2;2;1;3; ; ; ; ; ; ; ; ; ;1
101208;1;11;11001;1;16;2;1;30;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7;18;11;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;2;1;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ;2; ;1;1; ; ; ; ; ; ; ; ;1;2;2;2;1;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101209;1;11;11001;1;16;2;1;65;1;3;2;1;3;2;4;4;4;2;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;1;2; ; ; ;1; ;1;7;31;10;9;2;2;1;2;2;2;3; ;1;1;1;1; ;1;1;1;3;9;1;2;2;2;2;2;2;2;2;13; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101210;1;11;11001;1;16;2;1;33;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;15;10;1;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;1;2;2;2;2;2;2;2;2;13; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101211;1;11;11001;1;16;2;1;48;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ;1; ; ;1;1;2;2;2;2;2; ; ; ; ; ;1;7;22;9;9;2;2;1;2;2;2;3;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;2;2;2;16;20; ; ; ;22; ; ; ;6;2;1;1; ; ; ; ; ; ; ; ;1;2;1;1;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101212;1;11;11001;1;16;2;1;38;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;11;7;10;1;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;2;1;2;2;2;2;2;2;2;2;4; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;1;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101213;1;11;11001;1;16;2;1;41;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ; ; ;1;1;1;2;2;2;2;2; ; ; ; ; ;1;1;20;11;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101214;1;11;11001;1;16;2;1;34;1;3;1;1;3;2;4;4;4;4;4;4;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;17;1;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;7;1;2;2;2;2;2;2;2;2;13; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
101215;1;11;11001;1;16;2;1;55;1;3;2;1;3;2;3;4;3;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;25;4;3;2;1;1;2;2;2;3; ;1;1;1;1; ;1;1;1;2;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101216;1;11;11001;1;16;2;1;33;1;3;2;1;3;1;4;4;4;4;4;3;4;4;4;1; ; ; ; ; ; ; ; ;1; ;1;1;2;2;2;2;2; ; ; ; ; ;1;1;1;10;4;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;3;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;1;1;1;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101217;1;11;11001;1;16;2;1;53;1;3;2;1;3;2;4;4;4;3;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;6;2;11;3;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;4;1;2;2;2;2;2;2;2;2;12; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;1;1;1;1;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101218;1;11;11001;1;16;2;1;34;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;10;1;3;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;3;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;2;1;2;1;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101220;1;11;11001;1;16;2;1;58;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1; ; ; ; ;1;2;30;2;6;1;2;1;2;2;2;3; ;1;1;1; ; ;1;1;1;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101221;1;11;11001;1;16;2;1;58;1;3;1;1;3;2;4;3;4;4;3;3;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;2;11;3;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101222;1;11;11001;1;16;2;1;47;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;30;1;1;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;3;1;2;2;2;2;2;2;2;2;16; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;1;1;1;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101223;1;11;11001;1;16;2;2; ; ;7; ; ;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;50; ; ; ;1; ; ; ;1
101224;1;11;11001;1;16;2;1;33;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;7;1;1;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;7;1;2;2;2;2;2;2;2;2;13; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;1;2;1;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101225;1;11;11001;1;16;2;1;38;2;3;1;1;3;2;4;4;4;4;4;3;4;4;4;1; ; ; ; ; ; ; ;1; ; ;1;1;2;2;2;2;2; ; ; ; ; ;1;7;15;10;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;18; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101226;1;11;11001;1;16;2;1;49;1;3;2;1;3;1;4;4;4;4;4;4;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7;32;4;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;5;1;2;2;2;2;2;2;2;2;14; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;1;1;2;2;2;1;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
101227;1;11;11001;1;16;2;1;37;1;3;2;1;3;2;4;4;3;4;4;3;4;2;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7;8;11;4;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;4;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;2;2;1;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101228;1;11;11001;1;16;2;1;38;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;11;10;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;1;2;1;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101229;1;11;11001;1;16;2;1;50;1;3;2;1;3;2;4;4;3;4;4;4;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;8;7;7;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;1;1;2;2;2;2;2;2;2;2;46; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;1;1;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101230;1;11;11001;1;16;2;1;35;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;6;1;11;3;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;1;2;2;2;2;2;2;2;2;14; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101231;1;11;11001;1;16;2;1;50;1;3;2;1;3;2;4;4;3;3;4;4;4;4;4;1; ; ; ; ; ; ; ; ;1; ;1;1;2;2;2;2;2; ; ; ; ; ;1;1;15;1;7;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;5;1;1;2;2;2;2;2;2;2;2;22; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;1;1;2;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
101232;1;11;11001;1;16;2;1;39;1;3;1;1;3;2;4;4;3;4;4;3;4;4;4;1; ; ; ; ; ; ;1; ; ; ;1;1;2;2;2;2;2; ; ; ; ; ;1;7;22;1;1;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;5;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;1;1;1;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101233;1;11;11001;1;16;2;1;33;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7;5;10;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;5;1;2;2;2;2;2;2;2;2;18; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101234;1;11;11001;1;16;2;1;61;1;3;1;1;3;2;3;3;1;4;4;2;4;1;4;1; ; ; ; ; ; ; ; ;1; ;11; ;2;2;2;2;2; ; ; ; ; ;1;1;6;10;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;6;5;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101235;1;11;11001;1;16;2;1;48;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2;15;10;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;5;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101236;1;11;11001;1;16;2;1;60;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7;48;10;9;2;2;1;2;2;2;3; ;1;1;1; ;1;1;1;1;2;4;1;2;2;2;2;2;2;2;2;13; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
101237;1;11;11001;1;16;2;1;29;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;11;10;1;1;2;1;2;2;2;3; ;1;1;1;1;1; ;1;1;3;9;1;2;2;2;2;2;2;2;2;7; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1;1;1;1;1;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101238;1;11;11001;1;16;2;1;48;1;3;1;1;3;2;4;4;4;4;4;4;3;4;3;1; ; ; ; ;1; ; ; ; ; ;1;1;2;2;2;2;2; ; ; ; ; ;1;7;12;10;6;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;6;1;1;2;2;2;2;2;2;2;2;16; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101239;1;11;11001;1;16;2;1;58;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ;1; ;1; ; ;2;1;2;2;2;2;2; ; ; ; ; ;1;1;30;10;3;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
101240;1;11;11001;1;16;2;1;37;2;3;2;1;3;2;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;8;10;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;1;1;1;1;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101241;1;11;11001;1;16;2;1;32;1;3;1;1;3;2;4;4;4;4;4;4;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;12;10;3;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;4;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101242;1;11;11001;1;16;2;1;53;1;3;2;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;2;10;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;4;1;2;2;2;2;2;2;2;2;50; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101243;1;11;11001;1;16;2;1;49;1;3;1;1;3;2;2;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;20;10;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;1;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;4; ; ; ; ; ; ; ; ; ;1
101244;1;11;11001;1;16;2;1;33;1;3;1;1;3;2;4;4;4;4;4;4;4;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;1;10;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;9;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
