"globalid";"LOCALIDAD";"COD_LOCALIDAD";"UBIC";"CTL1";"P5";"P6";"P7";"P7S1A";"P7S1B";"P9";"P10";"P11";"P11S3";"P12";"no_sabe_edad_fecha";"P13";"P14S1";"P14S2";"P14S3";"P14S4";"P14S5";"P14S6";"P14S7";"P14S8";"P15";"P16";"P16S1";"P17";"P17_2";"P17_3";"P18S1";"P18S2";"P19";"P20";"P21";"P22S1";"P22S2";"P22S3";"P22S4";"P22S5";"P22S6";"P22S7";"P23S1";"P23S2";"P23S3";"P23S4";"P23S5";"P23S6";"P23S7";"P23S8";"P23S9";"P23S10";"visita_municipio";"visita_pais";"ninguna_ciudad_f24";"P25S1";"P25S2";"P25S3";"P25S4";"P25S5";"P26";"P27";"P28";"P28_1S1";"P28_1S2";"P28_1S3";"P28_1S4";"P28_1S5";"P28_1S6";"P28_1S7";"P28_1S8";"P28_1S9";"P28_1S10";"P28_1S11";"P28_2";"P29S1";"P29S1A1";"P29S2";"P29S2A1";"P29S3";"P29S3A1";"P29S4";"P29S4A1";"P29S5";"P29S5A1";"P30S1";"P30S1A1";"P30S2";"P30S2A1";"P30S3";"P30S3A1";"P30S4";"P30S4A1";"P30S5";"P30S5A1";"P30S6";"P30S6A1";"P30S7";"P30S7A1";"P30S8";"P30S8A1";"P30S9";"P30S9A1";"P30_1";"P30_2";"P31";"P31S1";"P32";"P33S1";"P33S2";"P33S3";"P33S4";"P33S5";"P33S6";"P33S7";"P33S8";"P33S9";"P34";"P35S1";"P35S2";"P35S3";"P35S4";"P35S5";"P36";"P37S1";"P37S2";"P37S3";"P37S4";"P37S5";"P37S6";"P37S7";"P37S8";"P37S9";"P37S10";"P37_1";"P38";"P38_1";"P39";"P39_1";"P39_2";"P39_3";"P40";"P40S1A";"P40S1B";"P40S2";"P41";"P42";"P43";"P44";"P45";"RES_FIN"
"{72CFA28B-AEB0-430A-8E29-8B3E8013D5BA}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";4;1;3;1;"30";0;6;4;4;4;4;4;4;4;4;1;4;9;5;6;11;"0";2;1;8;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;2;2;1;1;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;1;15;1;15;2;;2;;2;;2;;2;;2;;2;;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;1;2;3;"8";"Construir";;;1;3;0;5;1;2;;;;1
"{B1578110-5C5F-4129-B2E1-935C3FC8F0CD}";"Santa Fe";3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"20";1;1
"{EB9D42B7-BDC5-4E09-8092-D49382416B9B}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"57";0;6;4;4;4;4;4;4;4;4;1;5;10;6;5;11;"2";10;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;2;1;2;9;2;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;1;8;2;;2;;2;;2;;2;;2;;2;;;4;2;;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;10;1;5;"2";"Vender";;;2;;;;1;2;;;;1
"{73BD6626-FAC4-4256-B2CD-ADEBA460A534}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"51";0;6;1;1;1;1;1;1;1;1;1;5;11;1;11;;"2";6;1;3;1;2;2;1;2;2;1;2;1;1;1;2;2;2;2;1;2;2;"1";"2";;2;2;2;2;2;6;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;;2;;2;;2;;2;;1;12;1;40;2;;2;;2;;2;;2;;2;;2;;1;3;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;5;"1,6";"Elaborar artesanías y obras de arte";"Vigilar";;1;25;0;3;1;2;;;;1
"{80A477AB-A663-4640-A5EA-69F650E10C57}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";11;1;3;1;"30";0;6;4;4;4;2;4;4;4;4;1;3;5;3;6;1;"0";2;1;5;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;"1";"2";;1;2;2;2;2;1;1;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;1;15;2;;2;;2;;2;;2;;2;;2;;;2;2;;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;2;1;2;1;2;2;6;"8,2";"Construir";"Vender";;1;2;5;3;1;2;;;;1
"{38881B42-308C-4EAD-9C5C-665959EF0969}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";4;1;3;1;"42";0;6;4;4;4;4;4;4;1;4;1;6;999;8;2;4;"4";0;1;5;1;2;1;2;2;2;1;2;1;1;1;2;2;2;2;2;2;2;"2";"2";"NoVisitadoNungunaCiudad";2;2;1;2;2;3;1;1;2;1;2;1;1;1;2;1;2;1;2;4;2;;2;;2;;2;;2;;1;8;1;20;1;14;1;12;2;;2;;1;15;2;;2;;2;1;1;1;;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;3;5;"7,6,8";"Cocinar";"Vigilar";"Construir";1;4;0;1;1;2;;;;1
"{DC07BFFC-14E8-409F-8C9C-996D8D754897}";"Santa Fe";3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;"35";5;1
"{A14E07C0-2351-4F4D-BC51-0F2A9EB18C7D}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;2;;"31";0;1;4;4;4;4;4;4;1;4;2;1;;6;2;11;"20";0;2;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"1";"2";;2;2;2;2;2;9;4;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;2;;1;20;2;;2;;2;;2;;2;;2;;3;;1;2;7;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;8;2;1;"7";"Cocinar";;;1;4;0;6;1;2;;;;1
"{EF42A915-9E52-43F9-ABCC-DFE187680A4D}";"Santa Fe";3;1;2;8;;1;"Santa Fe";"3";3;1;1;;"30";0;6;4;4;4;3;4;4;3;4;1;5;10;5;10;;"16";0;1;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;"1";"2";;2;1;2;2;2;1;1;2;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;1;14;2;;2;;1;14;2;;2;;2;;2;;2;1;1;1;;2;1;2;2;1;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;1;2;2;1;2;2;8;2;5;"2";"Vender";;;1;0;1;2;1;2;;;;1
"{64078D90-B40B-4ECD-9E9C-7D5CC9CF67C6}";"Santa Fe";3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"35";1;1
