"globalid","edad_menstrual","recibe_ayuda","migrante","discapacidad","orientacion_sexual","LGBTI"
"{625488FD-4FEE-4CCA-AB7C-3B6C1F8BF36D}",NA,0,0,0,1,0
"{F0FF8CA3-3249-46AC-8A67-5E2106A77C5D}",NA,1,0,1,1,0
"{99456B11-F2F6-4989-82C5-79EEF1801A7A}",NA,NA,NA,NA,NA,NA
"{13992A13-EA21-4B2D-956B-E8C1BB06C4B9}",NA,0,0,0,1,0
"{CAC8A83D-D342-49BF-9791-F0789ECA9F45}",NA,NA,NA,NA,NA,NA
"{A6E76E00-253C-4E8E-9DFE-EB7F243841EA}",NA,1,0,0,1,0
"{2D4DD25E-7070-4E4C-A618-242D70597CA9}",NA,0,0,0,1,0
"{B1B1BB32-C3A7-45C9-AAEC-C425C637DE42}",NA,0,1,0,1,0
"{B65BD6FD-1BB4-433E-9923-B29144AC9F89}",NA,0,0,0,1,0
"{348288D1-B495-492C-9C1A-925E3AB02BDC}",NA,0,0,0,1,0
"{5AA5F4EA-DE1F-48A5-A348-03755E42EAA3}",NA,0,0,0,1,0
"{0CA92602-B538-47D2-B9C3-BA0BEE18B731}",NA,1,0,1,1,0
"{5D643295-C14C-486A-A5E0-50AC7B1C7B50}",NA,NA,NA,NA,NA,NA
"{E18448F3-F9E7-4F91-BED4-363F54DA43AC}",NA,0,0,0,2,1
"{3B820123-EAE7-424B-8578-2D0B67083BA7}",NA,1,0,0,1,0
"{7B0201CE-7175-4689-B175-E864307D1C18}",NA,0,1,0,1,0
"{7286D09B-AB3B-42A7-A13B-157E1DCC3D73}",NA,0,0,0,1,0
"{A30C039D-F83A-4A2D-8243-21B2EA24B883}",NA,0,0,0,1,0
"{73EE80C6-05B0-4AA1-A31B-EF73492BFB59}",NA,0,0,0,1,0
"{50CA4552-FEDE-4301-8BF8-2E3EE38FEFA7}",NA,1,0,0,1,0
"{15B8E25F-F3E9-442E-BDF2-9A1AF8DDAD86}",NA,1,0,0,1,0
"{4CD5D736-62EB-4E6C-A86F-5D6D840E4EA5}",NA,1,0,1,4,1
"{A0D8CA1A-6C9F-43CE-A91E-8FE8CC699C47}",NA,0,0,0,1,0
"{479D9AB1-E3C0-403F-80EE-65FF5326B6A9}",NA,NA,NA,NA,NA,NA
"{17C4D21C-E7AE-4C47-B0EC-DB45174A4889}",NA,0,0,1,1,0
"{8D345D89-5EC4-42EC-AD55-D2EE1772B19A}",NA,1,0,0,1,0
"{B7568D2B-ED79-4215-B964-7D1288A14087}",NA,0,0,0,1,0
"{4D3C3A76-C5B0-4BF8-9F83-F87536F4C51E}",NA,NA,NA,NA,NA,NA
"{2F867038-AF05-4327-A3AE-41F255DBDFBC}",NA,0,0,0,1,0
"{8E0F95C1-D805-4645-A00B-4CCC28E95844}",NA,1,0,0,1,0
"{CC88B300-E8C6-41DB-80A5-6E13BDC5F1F5}",NA,1,0,1,1,0
"{B6D8CC35-FB8A-4447-9517-AE957F014870}",NA,1,0,0,2,1
"{D759A6FE-6A03-45B9-A868-E3ABABBB909B}",1,0,0,0,7,0
"{2480AA63-2346-4308-9261-F98053156681}",NA,0,0,0,1,0
"{890F190F-975A-4DBC-9724-8F75103FFF1F}",1,0,0,0,1,0
"{12A212D8-9FF1-49BD-B43B-7FCD436C3663}",NA,0,0,0,1,0
"{906B9E09-2410-412B-8FC2-04F7FC349A87}",NA,0,0,0,1,0
"{58A0DF26-59C2-4803-8E02-07B4FC6D39D3}",NA,0,0,0,1,0
"{53F87CAC-E632-4E44-9562-79821DE2B940}",NA,NA,NA,NA,NA,NA
"{4CE48593-CAFB-4D5C-8A1E-D49699983C10}",NA,0,0,1,1,0
"{3E85C713-54B1-4421-A8D1-D412A3A81717}",NA,NA,NA,NA,NA,NA
"{C0CB490A-4089-4C70-BC34-D32F0E9D0142}",NA,NA,NA,NA,NA,NA
"{FDACAADA-338C-4DF6-B3ED-24907DF4B26C}",1,1,0,0,1,0
"{C660B9C7-DCDF-4966-BCED-CABA71C6F3A7}",NA,0,0,0,1,0
"{BA36A3DE-D822-4C02-99C5-42B4FA33CF2C}",NA,1,0,0,1,0
"{8906CDA9-CB31-4869-A1D5-1DEDD38ABF24}",NA,1,0,0,1,0
"{91928F8A-883D-4271-A9C9-14E56EC636BD}",NA,NA,NA,NA,NA,NA
"{0539C5BE-039A-4BC2-B4CB-66F6F3A72AE8}",NA,1,0,1,1,0
"{EC2C902D-E552-471B-8E46-86B7D9C27621}",NA,1,0,0,1,0
"{5BB5CD4F-E723-4071-BBEE-311EE2E32BBB}",1,1,0,1,1,0
"{5125B7C6-66DC-4197-AEAA-C73AA3D7965C}",NA,0,0,0,1,0
"{13377DEE-A6B3-493E-8919-95722BC8F54A}",NA,NA,NA,NA,NA,NA
"{D883053E-91CE-4E93-BE2C-0F44124BB2A7}",NA,1,0,1,1,0
